Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth
tests/big/sat/uf100-430/uf100-0243.cnf,true,545792,true,989372,989372,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0525.cnf,true,215458,true,7617,7617,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0519.cnf,true,1634834,true,1085102,1085102,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0521.cnf,true,232667,true,128639,128639,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0247.cnf,true,334750,true,89525,89525,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0253.cnf,true,1301833,true,61390,61390,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0535.cnf,true,855500,true,33586,33586,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0509.cnf,true,308167,true,482039,482039,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0284.cnf,true,480208,true,805,805,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0290.cnf,true,915666,true,239633,239633,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0723.cnf,true,225667,true,9381,9381,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0737.cnf,true,580292,true,39976,39976,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0938.cnf,true,2063125,true,88632,88632,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0904.cnf,true,1771167,true,566727,566727,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0910.cnf,true,971166,true,940556,940556,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0131.cnf,true,424917,true,44836,44836,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0657.cnf,true,1138584,true,553377,553377,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0643.cnf,true,964750,true,189784,189784,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0125.cnf,true,844125,true,45252,45252,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0119.cnf,true,248084,true,63989,63989,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0694.cnf,true,721667,true,88058,88058,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0858.cnf,true,765875,true,404731,404731,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0680.cnf,true,2786959,true,140699,140699,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-012.cnf,true,392917,true,61130,61130,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0870.cnf,true,1555291,true,568105,568105,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0864.cnf,true,2833291,true,1442970,1442970,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0455.cnf,true,1945125,true,772714,772714,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0333.cnf,true,836583,true,246452,246452,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0327.cnf,true,606000,true,91017,91017,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0441.cnf,true,1528250,true,916978,916978,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0469.cnf,true,438708,true,1332,1332,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0496.cnf,true,3809167,true,349199,349199,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0482.cnf,true,1520458,true,647677,647677,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0483.cnf,true,317917,true,158772,158772,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0497.cnf,true,112250,true,27203,27203,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0468.cnf,true,1291917,true,1099168,1099168,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0326.cnf,true,537625,true,453236,453236,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0440.cnf,true,2711667,true,14118,14118,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0454.cnf,true,1181208,true,84997,84997,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0332.cnf,true,1082708,true,1114,1114,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0865.cnf,true,1723792,true,78735,78735,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0871.cnf,true,163959,true,47808,47808,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-013.cnf,true,353500,true,333252,333252,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0681.cnf,true,1573125,true,409301,409301,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0859.cnf,true,1239542,true,1113878,1113878,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0695.cnf,true,732334,true,48194,48194,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0118.cnf,true,346500,true,1631284,1631284,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0642.cnf,true,2228417,true,30755,30755,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0124.cnf,true,1180792,true,10905,10905,0,1,"Torus(1, 1)",1000000
